1100009	2	3	61112	2	61112	2	40741	2	40741	2	27160	2	27160	2	18107	2	18107	2	12071	2	12071	2	8048	2	8048	2	5365	2	5365	2
1100009	2	6	137499	2	137499	2	68751	2	68751	2	34376	2	34376	2	17188	2	17188	2	8593	2	8593	2	4295	2	4295	2	2156	2	2156	2
1100009	2	12	137504	2	137504	2	68752	2	68752	2	34370	2	34370	2	17200	2	17200	2	9035	2	9035	2	3905	2	3905	2	1978	2	1978	2
1100009	2	17	121799	2	121799	2	64485	2	64485	2	34138	2	34138	2	18068	2	18068	2	9560	2	9560	2	5072	2	5072	2	2686	2	2686	2
1100009	2	21	124718	2	124718	2	65328	2	65328	2	34220	2	34220	2	17930	2	17930	2	9381	2	9381	2	4912	2	4912	2	2589	2	2589	2
1100009	2	27	127498	2	127498	2	66121	2	66121	2	34222	2	34222	2	17835	2	17835	2	9222	2	9222	2	4792	2	4792	2	2470	2	2470	2
1100009	2	29	128181	2	128181	2	66299	2	66299	2	34294	2	34294	2	17759	2	17759	2	9146	2	9146	2	4754	2	4754	2	2475	2	2475	2
1100009	2	30	137494	2	137494	2	68747	2	68747	2	34386	2	34386	2	17172	2	17172	2	8564	2	8564	2	4348	2	4348	2	2139	2	2139	2
1100009	2	33	129294	2	129294	2	66600	2	66600	2	34317	2	34317	2	17695	2	17695	2	9114	2	9114	2	4658	2	4658	2	2391	2	2391	2
1100009	2	34	137503	2	137503	2	68752	2	68752	2	34369	2	34369	2	17184	2	17184	2	8603	2	8603	2	4299	2	4299	2	2132	2	2132	2
1100009	4	6	122223	2	190973	2	31829	2	40741	2	5305	2	13580	2	884	2	4529	2	147	2	1505	2	25	2	508	2	5	2	165	2
1100009	4	12	154689	2	154691	2	38673	2	38678	2	9655	2	9665	2	2419	2	2428	2	583	2	606	2	161	2	167	2	27	2	35	2
1100009	4	17	137024	2	137025	2	40302	2	40303	2	11850	2	11853	2	3484	2	3490	2	1026	4	1026	4	303	2	305	2	85	2	87	2
1100009	4	21	140307	2	140308	2	40086	2	40089	2	11453	2	11455	2	3270	2	3275	2	931	2	937	2	258	2	272	2	76	2	89	2
1100009	4	27	150885	2	150900	2	39111	2	39131	2	10070	2	10205	2	2552	2	2699	2	683	2	715	2	162	2	184	2	36	2	43	2
1100009	4	29	144202	2	144206	2	39775	2	39787	2	10961	2	10985	2	3026	2	3036	2	829	2	838	2	220	2	225	2	72	2	75	2
1100009	4	30	147886	2	161632	2	37723	2	39442	2	8806	2	10513	2	2049	2	2803	2	481	2	748	2	104	2	210	2	29	2	43	2
1100009	4	33	145454	2	145456	2	39667	2	39668	2	10781	2	10785	2	3014	2	3019	2	787	2	794	2	205	2	213	2	53	2	66	2
1100009	4	34	148685	2	160814	2	37839	2	39357	2	8896	2	10417	2	2112	2	2767	2	490	2	701	2	103	2	216	2	33	2	48	2
1100009	7	12	109128	1	132045	2	11004	2	18190	1	916	2	3033	2	78	2	514	1	5	2	82	2	1	2	22	1	0	2	5	2
1100009	7	17	106576	2	122345	2	14393	2	18806	3	1693	2	3321	2	198	2	588	1	21	2	99	2	3	4	22	2	1	4	4	1
1100009	7	21	115451	2	115453	4	16492	5	16494	2	2356	3	2358	2	333	2	340	3	44	1	52	4	5	2	10	1	1	2	1	2
1100009	7	27	114021	2	124168	1	13788	1	16907	2	1512	1	2560	2	216	1	423	2	0	1	81	2	0	3	16	2	3	2	3	2
1100009	7	29	107625	2	107630	2	18548	2	18564	1	3190	2	3208	2	546	2	556	2	88	2	104	2	16	2	20	1	1	2	4	1
1100009	7	30	109123	2	118027	2	15736	1	18185	2	2095	2	3040	2	268	1	503	2	37	4	78	2	2	2	18	2	1	4	3	2
1100009	7	33	113132	3	121358	2	14709	2	17143	4	1777	2	2588	1	224	2	412	2	27	2	64	1	1	2	8	2	0	5	1	2
1100009	7	34	114323	2	122344	1	14392	1	16812	2	1686	1	2478	2	212	1	365	2	22	1	62	2	0	1	12	2	2	2	2	2
1100009	8	12	95488	2	115540	4	9628	4	15915	2	802	4	2653	2	66	2	446	2	5	2	76	2	1	2	14	2	1	4	1	4
1100009	8	17	93252	2	93255	2	16456	4	16458	2	2903	6	2906	2	508	2	517	2	85	2	93	2	17	2	21	2	0	2	2	6
1100009	8	21	101020	2	101024	2	14429	2	14433	2	2061	4	2064	2	291	4	297	2	41	2	48	2	3	2	6	4	0	2	1	6
1100009	8	27	99778	2	108648	2	12064	2	14784	2	1325	2	2243	2	143	2	418	2	6	2	72	2	0	4	14	2	0	4	3	2
1100009	8	29	102185	6	102188	2	14084	2	14104	2	1923	2	1962	2	256	2	284	2	32	2	41	2	3	2	6	2	0	4	3	2
